failureReason,BucketName,tags
"Account closed",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Account frozen",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Bank account closed",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Account on hold",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Account verification required",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Bank authorization failed",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Insufficient credit limit",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Insufficient funds",AuthorizationAndAccountIssues,"Account closed,Account frozen,Account on hold,Account verification required,Bank account closed,Bank authorization failed,Insufficient credit limit,Insufficient funds"
"Card declined by issuer",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card reported lost or stolen",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card blocked by cardholder",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Invalid card number",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Incorrect cardholder name",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card not activated",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card not supported",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Incorrect card type selected",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card expired",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Card limit exceeded",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Incorrect CVV/CVC",CardRelatedIssues,"Card blocked by cardholder,Card declined by issuer,Card expired,Card limit exceeded,Card not activated,Card not supported,Card reported lost or stolen,Incorrect card type selected,Incorrect cardholder name,Incorrect CVV/CVC,Invalid card number"
"Temporary issue with payment service provider",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Service temporarily unavailable",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Cardholders bank not reachable",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Payment timeout",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Server overload",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Cardholders bank offline",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Server error",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Payment processor downtime",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Blocked IP address",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Cardholders bank not participating",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Network connectivity issues",CommunicationAndConnectionIssues,"Blocked IP address,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Network connectivity issues,Payment processor downtime,Payment timeout,Server error,Server overload,Service temporarily unavailable,Temporary issue with payment service provider"
"Currency conversion error",CurrencyAndConversionIssues,"Currency conversion error,Invalid currency"
"Invalid currency",CurrencyAndConversionIssues,"Currency conversion error,Invalid currency"
"Incorrectly formatted payment data",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Invalid security code",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Incorrect billing information",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Invalid merchant category code",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Invalid account holder name",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Invalid billing address",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
