failureReason,bucketName,tags
"Insufficient funds","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Bank authorization failed","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account frozen","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account closed","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account verification required","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Insufficient credit limit","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account on hold","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Bank account closed","Authorization & Account Issues","Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Invalid card number","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card expired","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card declined by issuer","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Incorrect CVV/CVC","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card limit exceeded","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card reported lost or stolen","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card blocked by cardholder","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card not supported","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Incorrect cardholder name","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card not activated","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Incorrect card type selected","Card Related Issues","Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Payment timeout","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Server error","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Payment processor downtime","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank not participating","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank not reachable","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank offline","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Blocked IP address","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Network connectivity issues","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Service temporarily unavailable","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Temporary issue with payment service provider","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Server overload","Communication & Connection Issues","Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Invalid currency","Currency & Conversion Issues","Invalid currency,Currency conversion error"
"Currency conversion error","Currency & Conversion Issues","Invalid currency,Currency conversion error"
"Invalid billing address","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid expiration date","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid security code","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Incorrectly formatted payment data","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Incorrect billing information","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid account holder name","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid check digit","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid merchant category code","Data & Information Issues","Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
PaymentDeclinedByIssuerException,"Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Suspicious activity detected","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholder authentication required","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholder disputed the transaction","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment source not authorized","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Fraud detection triggered","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment declined by third-party fraud system","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholders bank flagged transaction as fraudulent","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment security violation","Fraud & Security Issues","PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment processing error","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Incompatible browser or device","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Restricted card type","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Restricted country for payment","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Declined by risk management","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
PaymentLimitExceededException,"Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Payment processing limit exceeded","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded transaction frequency limit","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded maximum allowable retries","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded maximum transaction amount","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
