failureReason,BucketName,tags
"Insufficient funds",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account verification required",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account on hold",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account frozen",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Account closed",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Bank authorization failed",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Insufficient credit limit",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Bank account closed",AuthorizationAndAccountIssues,"Insufficient funds,Bank authorization failed,Account frozen,Account closed,Account verification required,Insufficient credit limit,Account on hold,Bank account closed"
"Invalid card number",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card expired",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card not supported",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card limit exceeded",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
